rok;kwartal;liczba_uzytkownikow_w_mln
2018;1;2196
2018;2;2234
2018;3;2271
2018;4;2320
2019;1;2375
2019;2;2414
2019;3;2449
2019;4;2498
2020;1;2603
2020;2;2701
2020;3;2740
2020;4;2797
